,key,item,item_url,price,shop,shop_url
0,小鸟的晨歌,当当网书籍语文素养读本小学卷1小鸟,https://click.simba.taobao.com/cc_im?p=%D0%A1%C4%F1%B5%C4%B3%BF%B8%E8%20%CA%E9&s=1843354360&k=673&e=TNDGZOXMIlNKsUM6O1lpuEcX5MFAlPp%2BWRe%2FrGrqAhUli2WohsiNsu48fRtvPB2%2F%2FJGB51PawoD%2BvmvRya%2F0HyFb7UpTb6YFuI4mEEHI6g%2BtAgnLC3KM%2BojSBTXfeJf9jYXuPYtjSHl15MDURxxSzGKSQqMB0IaKjS0oISWzQN%2FigFoMS6fRPj53CLa9n8o%2BDMPNkpTvZlPgWGm1TCI6GHJtg%2F7QdhfP11fm87WOYJYfCuaRcABqKPD2q3TcPmSF4AE6H9Qi%2F%2B3YxIL4HgGJcYiwF%2F8pI3x2IYelfzNhI5SXy4kMp0RZzrtRu9WE%2BuxAVLFAFhJPvQd4G2HvIDMBicsf3ahk2yZ0TPBINi%2FOkE2GVBHxeTlHvfOEPXgAxsLLvfjoCxwDHpLlhMLiSiNSpr3JBMfC1Ioyk3mgW3d9QclMT07gAHHPie2wBBsfn7KdUTk5U2deXjLMw%2F42w5MRErcE0Qq%2BvysQWjk8Kcq89t7hNDMU%2BQ1MVh76KO%2FqzTdQLls7%2FKmdoMSyj4xX6T5a27jikNC%2Fh0i%2BccFMDyt5%2BcZ2cRmQ4TCu2F9ER0srz6sGzGx3Br49sRH9rlM%2B6MmSMCiqcjhOxhxXIIkZJPHmeAKuym0fR8wP5khgeYtm%2Ft66VMYlZNFNmjvqnrwJieHZgb5n0rylu7c4,19.00,当当网官方旗舰店,https://click.simba.taobao.com/cc_im?p=%D0%A1%C4%F1%B5%C4%B3%BF%B8%E8%20%CA%E9&s=1843354360&k=633&e=9kV%2FVudAxQVKsUM6O1lpuEcX5MFAlPp%2BWRe%2FrGrqAhUli2WohsiNsu48fRtvPB2%2F%2FJGB51PawoC5MlLiJHKLoiFb7UpTb6YFuI4mEEHI6g%2BtAgnLC3KM%2BojSBTXfeJf9jYXuPYtjSHl15MDURxxSzGKSQqMB0IaKjS0oISWzQN%2FigFoMS6fRPj53CLa9n8o%2BDMPNkpTvZlPgWGm1TCI6GHJtg%2F7QdhfP11fm87WOYJYfCuaRcABqKPD2q3TcPmSF4AE6H9Qi%2F%2B3YxIL4HgGJcYiwF%2F8pI3x2IYelfzNhI5SXy4kMp0RZzrtRu9WE%2BuxAVLFAFhJPvQd4G2HvIDMBicsf3ahk2yZ0TPBINi%2FOkE2GVBHxeTlHvfOEPXgAxsLLvfjoCxwDHpLlhMLiSiNSpr3JBMfC1Ioyk3mgW3d9QclMT07gAHHPie2wBBsfn7KdUTk5U2deXjLMw%2F42w5MREs6HPGTm6UaCaAxkGNYGkU7QI0pOXx6rbH370qilDZl2rWoYv%2B5aEtvH%2Bu8K6VLJpKeysvbvv%2BBQ96U8LOxKxtyDKEktf5r8Wde5Qi0QFjLehRnC0Wm2070c6O6fb%2F04OAfH6VEgbpQJJfJFRIHdrMFUoN8dTNrrFQ%3D%3D
1,小鸟的晨歌,正版包邮 4册 乌丢丢的奇遇+我的童年在长大+小鸟的晨歌+明天要远足 注音版小学生课外书一年级上册阅读书 广州门市,//detail.tmall.com/item.htm?id=578460709211&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=1,92.50,奥华元图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=1695059118
2,小鸟的晨歌,正版 小猪晞哩呼噜上下两册+小鸟的晨歌+大卫上学去 一年级推荐书目,//detail.tmall.com/item.htm?id=577462292250&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=1,63.00,庆元新华书店图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=3547041551
3,小鸟的晨歌,全新正版包邮小鸟的晨歌 语文素养读本（丛书） 小学卷1,//item.taobao.com/item.htm?id=577247899220&ns=1&abbucket=1#detail,24.00,悦读汇纪,//store.taobao.com/shop/view_shop.htm?user_number_id=2437845101
4,小鸟的晨歌,团购优惠【小鸟的晨歌】温儒敏 语文素养读本丛书 小学卷 一年级上册 北京大学语文教育研究所组编  人民教育出版社语文读本,//detail.tmall.com/item.htm?id=532064878406&ns=1&abbucket=1,15.00,弗洛拉图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=2782783791
5,小鸟的晨歌,【团购优惠】 语文素养读本丛书小学卷 一年级 小鸟的晨歌+穿浅蓝格子衫的太阳一年级上下册温儒敏人民教育语文素养丛书亲子阅读,//detail.tmall.com/item.htm?id=537938232958&ns=1&abbucket=1,28.80,山东书虫图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=2468631159
6,小鸟的晨歌,2018新版现货语文素养读本小学卷全12册小学全套 小鸟的晨歌穿浅蓝格子衬衫的太阳等温儒敏丛书一二三四五六123456年级上下册适用,//detail.tmall.com/item.htm?id=565705272135&ns=1&abbucket=1,199.00,开元图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=2750222405
7,小鸟的晨歌,全2册 语文素养读本丛书小学卷 一年级 小鸟的晨歌+穿浅蓝格子衫的太阳一年级上下册语文素养丛书亲子阅读一年级课外阅读人民教育,//detail.tmall.com/item.htm?id=572888140144&ns=1&abbucket=1,28.80,悦悦图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=2041592426
8,小鸟的晨歌,【量大从优】2018正版小鸟的晨歌语文素养读本丛书小学卷一年级上册人教版 配套1年级上课本亲子美文阅读绿色印刷儿童注音课外阅读,//detail.tmall.com/item.htm?id=559111547851&ns=1&abbucket=1,14.80,开元图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=2750222405
9,小鸟的晨歌,现货包邮 语文素养读本丛书小学卷 一年级 小鸟的晨歌+穿浅蓝格子衫的太阳 1年级上下册温儒敏 人民教育 语文素养丛正版包邮,//detail.tmall.com/item.htm?id=558875112533&ns=1&abbucket=1,32.00,博库图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=859515618
10,小鸟的晨歌,团购优惠【小鸟的晨歌+穿浅蓝格子衬衫的太阳】温儒敏 语文素养读本丛书 小学一年级上下册 人民教育出版社人教版语文读本,//detail.tmall.com/item.htm?id=537897581518&ns=1&abbucket=1,28.50,弗洛拉图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=2782783791
11,小鸟的晨歌,语文素养读本丛书 小学卷 小鸟的晨歌 一年级上册 温儒敏 人民教育出版社 小学生课外阅读注音版小学生作文辅导 亲子阅读,//detail.tmall.com/item.htm?id=532118148082&ns=1&abbucket=1,15.00,济南常青藤图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=2451699564
12,小鸟的晨歌,2018现货正版小鸟的晨歌语文素养读本丛书小学卷一年级上册人教版 配套1年级上册课本亲子美文阅读绿色印刷儿童注音课外阅读,//detail.tmall.com/item.htm?id=574270803420&ns=1&abbucket=1,16.90,盎然图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=2687426497
13,小鸟的晨歌,现货包邮新版小鸟的晨歌 语文素养读本丛书小学卷一年级上册 人教版小学1年级上册亲子美文阅读儿童经典课外阅读书籍绿色印刷,//detail.tmall.com/item.htm?id=558692293194&ns=1&abbucket=1,16.80,儒言图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=717577503
14,小鸟的晨歌,小鸟的晨歌/语文素养读本丛书,//detail.tmall.com/item.htm?id=547720517740&ns=1&abbucket=1,19.70,博才图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=2448305656
15,小鸟的晨歌,【团购优惠】 语文素养读本 丛书 小学卷 小鸟的晨歌+穿浅蓝格子衫的太阳 一年级上下册温儒敏一年级语文,//detail.tmall.com/item.htm?id=537897449698&ns=1&abbucket=1,28.50,济南常青藤图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=2451699564
16,小鸟的晨歌,【团购优惠】包邮语文素养读本一年级上下册小鸟的晨歌+穿浅蓝格子衫的太阳语文素养读本小学卷语文素养读本丛书亲子阅读,//detail.tmall.com/item.htm?id=537897217965&ns=1&abbucket=1,28.80,布克图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=651359430
17,小鸟的晨歌,现货正版  小鸟的晨歌 语文素养读本丛书 小学卷一年级上册语文  温儒敏 人民教育出版社亲子阅读配套小学1年级上册语文课外课堂,//detail.tmall.com/item.htm?id=559218749671&ns=1&abbucket=1,20.80,海宁新华书店图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=2566616517
18,小鸟的晨歌,小鸟的晨歌/语文素养读本丛书,//detail.tmall.com/item.htm?id=578122265179&ns=1&abbucket=1,16.80,淘乐思图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=4090044054
19,小鸟的晨歌,小鸟的晨歌/语文素养读本丛书 正版书籍 木垛图书,//detail.tmall.com/item.htm?id=524593408172&ns=1&abbucket=1,16.80,木垛图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=1961939153
20,小鸟的晨歌,小鸟的晨歌/语文素养读本丛书,//detail.tmall.com/item.htm?id=576750516406&ns=1&abbucket=1,18.40,金华新华书店图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=3468348756
21,小鸟的晨歌,【现货发货快】语文素养读本丛书 小学卷 小鸟的晨歌一年级上册北京大学语文教育研究所组编 温儒敏人民教育 语文素养丛书亲子阅读,//detail.tmall.com/item.htm?id=532118128158&ns=1&abbucket=1,15.00,山东书虫图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=2468631159
22,小鸟的晨歌,小鸟的晨歌/语文素养读本丛书,//detail.tmall.com/item.htm?id=560027843211&ns=1&abbucket=1,19.70,蒙学图书音像专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=298475119
23,小鸟的晨歌,【现货当天发】 语文素养读本丛书小学卷 一年级 小鸟的晨歌+穿浅蓝格子衫的太阳一年级上下册温儒敏人民教育语文素养丛书亲子阅读,//detail.tmall.com/item.htm?id=560788649224&ns=1&abbucket=1,32.00,文豪博阅图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=374597309
24,小鸟的晨歌,2018正版现货语文素养读本丛书一年级上下册2本小鸟的晨歌+穿浅蓝格子衬衫的太阳1年级小学卷语文课本同步课外阅读人民教育出版社,//detail.tmall.com/item.htm?id=574171226912&ns=1&abbucket=1,30.90,盎然图书专营店,//store.taobao.com/shop/view_shop.htm?user_number_id=2687426497
25,小鸟的晨歌,【正版图书包邮】@小鸟的晨歌 语文素养读本 小学卷1小学通用,//item.taobao.com/item.htm?id=578080402134&ns=1&abbucket=1#detail,24.00,丽伟联盟批发商城,//store.taobao.com/shop/view_shop.htm?user_number_id=1611268513
26,小鸟的晨歌,正版包邮 语文素养读本 小学卷 一年级上册 小鸟的晨歌 人民教育出版 配套小学生1年级上册语文课本使用课外课堂阅读书籍 温儒敏,//detail.tmall.com/item.htm?id=560922950274&ns=1&abbucket=1,21.80,博知四方图书专营,//store.taobao.com/shop/view_shop.htm?user_number_id=2340836129
